duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong,urgent,count,srv_count,serror_rate,srv_serror_rate,rerror_rate ,diff_srv_rate ,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,Unnamed: 26,Unnamed: 27,predict
0,tcp,other,OTH,1514,0,0,0,0,6267,6267,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6268,6268,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6269,6269,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6270,6270,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6271,6271,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,60,0,0,0,0,6272,6272,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,http,OTH,60,0,0,0,0,196,196,0,0,0,0,1.0,0.0,0.0,4,4,1.0,0.0,0.8,0.0,0,0,0,0,normal
0,tcp,other,OTH,60,0,0,0,0,6273,6273,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,http,OTH,60,0,0,0,0,197,197,0,0,0,0,1.0,0.0,0.0,5,5,1.0,0.0,0.83,0.0,0,0,0,0,normal
0,tcp,http,OTH,60,0,0,0,0,198,198,0,0,0,0,1.0,0.0,0.0,6,6,1.0,0.0,0.86,0.0,0,0,0,0,normal
0,tcp,other,OTH,1514,0,0,0,0,6274,6274,0,0,0,0,1.0,0.0,0.0,93,93,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6275,6275,0,0,0,0,1.0,0.0,0.0,93,93,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6276,6276,0,0,0,0,1.0,0.0,0.0,93,93,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6277,6277,0,0,0,0,1.0,0.0,0.0,93,93,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6278,6278,0,0,0,0,1.0,0.0,0.0,93,93,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6279,6279,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6280,6280,0,0,0,0,1.0,0.0,0.0,94,94,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6281,6281,0,0,0,0,1.0,0.0,0.0,95,95,1.0,0.0,0.99,0.0,0,0,0,0,smurf
0,tcp,other,OTH,1514,0,0,0,0,6282,6282,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6283,6283,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6284,6284,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6285,6285,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6286,6286,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6287,6287,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6288,6288,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6289,6289,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6290,6290,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,neptune
0,tcp,other,OTH,1514,0,0,0,0,6291,6291,0,0,0,0,1.0,0.0,0.0,96,96,1.0,0.0,0.99,0.0,0,0,0,0,smurf
